惴惴不安,10
灵丹妙药,10
瞠目结舌,10
简明扼要,10
聚精会神,10
芸芸众生,10
血雨腥风,10
言简意赅,10
一盘散沙,9
三生有幸,9
严丝合缝,9
井底之蛙,9
哭笑不得,9
堂而皇之,9
字里行间,9
山穷水尽,9
伶牙俐齿,9
前因后果,9
大手大脚,9
天罗地网,9
引经据典,9
没头没脑,9
缩手缩脚,9
推心置腹,9
昏天黑地,9
毕恭毕敬,9
火眼金睛,9
瓮中之鳖,9
粗制滥造,9
细枝末节,9
脑满肠肥,9
轩然大波,9
一言一行,8
不明不白,8
古往今来,8
坚韧不拔,8
当头棒喝,8
心花怒放,8
惟妙惟肖,8
神来之笔,8
街头巷尾,8
轻手轻脚,8
杯水车薪,8
气势汹汹,8
水泄不通,8
炉火纯青,8
生离死别,8
纸醉金迷,8
衣食住行,8
酸甜苦辣,8
金玉良言,8
阴阳怪气,8
一技之长,7
人人自危,7
人仰马翻,7
分门别类,7
大势所趋,7
大风大浪,7
待人接物,7
一星半点,7
斩钉截铁,7
汪洋大海,7
看家本领,7
挖空心思,7
过街老鼠,7
是是非非,7
楚楚动人,7
治病救人,7
海枯石烂,7
犬马之劳,7
珠光宝气,7
神采飞扬,7
肺腑之言,7
荣华富贵,7
蓬头垢面,7
通宵达旦,7
风口浪尖,7
鬼斧神工,7
不白之冤,6
举重若轻,6
先知先觉,6
千头万绪,6
半生不熟,6
延年益寿,6
不痛不痒,6
丧家之犬,6
千刀万剐,6
大刀阔斧,6
惊弓之鸟,6
探头探脑,6
暴风骤雨,6
立竿见影,6
艰难险阻,6
长此以往,6
有气无力,6
热火朝天,6
狗血喷头,6
血流如注,6
远见卓识,6
金碧辉煌,6
锦绣前程,6
阴差阳错,6
风土人情,6
七零八落,5
三教九流,5
不可终日,5
低三下四,5
别出心裁,5
千家万户,5
悬崖峭壁,5
惊涛骇浪,5
千夫所指,5
大名鼎鼎,5
始作俑者,5
少言寡语,5
有板有眼,5
是非曲直,5
普天之下,5
良辰美景,5
言谈举止,5
金童玉女,5
残兵败将,5
洪水猛兽,5
男女老幼,5
百里挑一,5
真情实意,5
能工巧匠,5
艰苦卓绝,5
花花世界,5
莫明其妙,5
蝇头小利,5
路人皆知,5
达官贵人,5
逐字逐句,5
铜墙铁壁,5
面红耳赤,5
鞍前马后,5
一颦一笑,4
一鼻子灰,4
七老八十,4
不解之缘,4
切肤之痛,4
利欲熏心,4
千千万万,4
参差不齐,4
变化莫测,4
天之骄子,4
天昏地暗,4
小巧玲珑,4
山珍海味,4
明日黄花,4
东西南北,4
冷言冷语,4
刀光剑影,4
贼头贼脑,4
毅然决然,4
汗如雨下,4
汗马功劳,4
津津有味,4
清规戒律,4
白雪皑皑,4
空中楼阁,4
老气横秋,4
苦口婆心,4
诗情画意,4
财大气粗,4
身心交瘁,4
郑重其事,4
重于泰山,4
长年累月,4
鱼死网破,4
一马平川,3
三五成群,3
下里巴人,3
不约而同,3
五光十色,3
克敌制胜,3
半壁江山,3
含糊其词,3
声情并茂,3
多事之秋,3
大模大样,3
天女散花,3
天灾人祸,3
天网恢恢,3
姑息养奸,3
左邻右舍,3
张三李四,3
心惊胆颤,3
抑扬顿挫,3
无米之炊,3
有声有色,3
望眼欲穿,3
一年半载,3
千难万险,3
四平八稳,3
家长里短,3
寡廉鲜耻,3
寻根究底,3
崇山峻岭,3
旷日持久,3
曾经沧海,3
有条有理,3
正经八百,3
油盐酱醋,3
红男绿女,3
渔翁得利,3
豪言壮语,3
针头线脑,3
阳春白雪,3
燃眉之急,3
理直气壮,3
百尺竿头,3
粗枝大叶,3
绵绵不绝,3
肝肠寸断,3
茹毛饮血,3
觥筹交错,3
起早贪黑,3
踌躇满志,3
身外之物,3
过眼烟云,3
近水楼台,3
难兄难弟,3
音容笑貌,3
风烛残年,3
黄粱一梦,3
一朝一夕,2
一般无二,2
七窍生烟,2
万水千山,2
三番五次,2
世态炎凉,2
众星捧月,2
古道热肠,2
同心同德,2
名不符实,2
喜闻乐见,2
嗟来之食,2
声色俱厉,2
大步流星,2
头面人物,2
如花似玉,2
强弩之末,2
影影绰绰,2
得天独厚,2
悠然自得,2
攻守同盟,2
旁门左道,2
无为而治,2
沉鱼落雁,2
渺无人烟,2
万家灯火,2
五湖四海,2
凤毛麟角,2
千军万马,2
千山万水,2
善男信女,2
威风凛凛,2
心急火燎,2
排山倒海,2
无独有偶,2
痛快淋漓,2
百年不遇,2
漫山遍野,2
皮开肉绽,2
眉清目秀,2
真才实学,2
真知灼见,2
石破天惊,2
神乎其神,2
膘肥体壮,2
调兵遣将,2
豆蔻年华,2
贪官污吏,2
连篇累牍,2
金字招牌,2
金榜题名,2
闲情逸致,2
高风亮节,2
默默无言,2
一来二去,1
一纸空文,1
一草一木,1
一路风尘,1
一针一线,1
万语千言,1
万里长征,1
三天两头,1
不伦不类,1
不可名状,1
人心所向,1
优哉游哉,1
冰清玉洁,1
千姿百态,1
国色天香,1
地覆天翻,1
奇谈怪论,1
官样文章,1
心腹之患,1
悲欢离合,1
承前启后,1
新人新事,1
明枪暗箭,1
朴实无华,1
欢蹦乱跳,1
民脂民膏,1
污七八糟,1
浩浩荡荡,1
海角天涯,1
深情厚谊,1
混世魔王,1
爱民如子,1
牛鬼蛇神,1
玄之又玄,1
矢志不移,1
等闲视之,1
粗茶淡饭,1
一潭死水,1
纷纷扬扬,1
经年累月,1
维妙维肖,1
老骥伏枥,1
刀光血影,1
艰难曲折,1
声色犬马,1
天南地北,1
苛捐杂税,1
莫逆之交,1
摧枯拉朽,1
星星点点,1
豪情壮志,1
梁上君子,1
贪婪无厌,1
污泥浊水,1
赤子之心,1
起承转合,1
起早摸黑,1
洋洋洒洒,1
满山遍野,1
火烧火燎,1
疾风暴雨,1
穷山恶水,1
紧锣密鼓,1
郁郁葱葱,1
腥风血雨,1
量体裁衣,1
英姿飒爽,1
长治久安,1
门户之见,1
闭月羞花,1
谬以千里,1
象牙之塔,1
难解难分,1
雕梁画栋,1
金戈铁马,1
风中之烛,1
飞沙走石,1
飞禽走兽,1
食不甘味,1
饮食起居,1
雨后春笋,1
零敲碎打,1
香车宝马,1
鳏寡孤独,1
高头大马,1
龙飞凤舞,1
将虾钓鳖,0
嫉恶若仇,0
惨无人理,0
怪诞不经,0
屠门大嚼,0
宾至如归,0
离情别绪,0
拔赵易汉,0
鸦鹊无声,0
宠辱不惊,0
东扯西拽,0
欣喜若狂,0
听其自便,0
花衢柳陌,0
暗淡无光,0
责无旁贷,0
亲冒矢石,0
煮粥焚须,0
勇往直前,0
切理厌心,0
家徒壁立,0
传宗接代,0
一谦四益,0
敌国外患,0
龙盘凤翥,0
识微见几,0
褒衣危冠,0
斗鸡养狗,0
意前笔後,0
语妙天下,0
谩藏诲盗,0
咏月嘲风,0
妙绝时人,0
怜贫惜老,0
废私立公,0
怀道迷邦,0
曲尽其妙,0
飘樊落溷,0
家无担石,0
若涉渊冰,0
播糠眯目,0
扫地以尽,0
调脣弄舌,0
尺二秀才,0
束手待死,0
倚门傍户,0
床头金尽,0
言芳行洁,0
求贤若渴,0
活形活现,0
低声细语,0
帡天极地,0
分香卖履,0
嵬眼澒耳,0
纵虎出柙,0
游山玩景,0
河门海口,0
悔过自新,0
扬威曜武,0
绞尽脑汁,0
一定不易,0
代越庖俎,0
东扯西拉,0
一刀两段,0
断章取义,0
先声後实,0
凤泊鸾飘,0
惨无天日,0
泣不成声,0
道东说西,0
醉舞狂歌,0
浊质凡姿,0
亲操井臼,0
穷年尽气,0
通无共有,0
前襟後裾,0
伤天害理,0
雨断云销,0
阿平绝倒,0
批鳞请剑,0
势钧力敌,0
止戈为武,0
直捷了当,0
日出三竿,0
鹰视狼顾,0
枝附影从,0
改张易调,0
郢人斫垩,0
焮天铄地,0
雪窗萤火,0
衒玉贾石,0
油嘴花脣,0
金钗换酒,0
脸红耳热,0
握拳透爪,0
杯水之敬,0
鞭长驾远,0
口角生风,0
舆死扶伤,0
入地无门,0
日出不穷,0
蝮螫解腕,0
君子协定,0
乐极悲生,0
朽木死灰,0
轻若鸿毛,0
积羽沉舟,0
螳螂之卫,0
宝刀不老,0
易如破竹,0
晕晕沉沉,0
略窥一班,0
通幽洞灵,0
拈花一笑,0
欣欣自得,0
长材茂学,0
酌古斟今,0
班驳陆离,0
愁红怨绿,0
束发封帛,0
赤县神州,0
一触即溃,0
鼻孔辽天,0
发言盈庭,0
抱令守律,0
神功圣化,0
鹘入鸦群,0
我见犹怜,0
知情达理,0
兼官重绂,0
人命关天,0
风尘之会,0
窃位素餐,0
妻兒老少,0
风行草从,0
夺胎换骨,0
悲歌易水,0
妻兒老小,0
马到成功,0
匡时济俗,0
盖头换面,0
侈纵偷苟,0
白驹过隙,0
坦然自若,0
马中关五,0
绵绵瓜瓞,0
琪花玉树,0
弄巧反拙,0
疏财仗义,0
突梯滑稽,0
贼臣逆子,0
源源本本,0
言犹在耳,0
呆似木鸡,0
七男八婿,0
文质斌斌,0
束手待毙,0
入国问俗,0
含章天挺,0
適得其反,0
置身事外,0
三足鼎立,0
勤能补拙,0
刻翠裁红,0
鲁鱼亥豕,0
耐人寻味,0
惊魂动魄,0
铁画银钩,0
戴鸡佩豚,0
烹龙煮凤,0
稗官小说,0
十鼠同穴,0
穷年屡月,0
匡时济世,0
亲当矢石,0
昂首望天,0
出其不备,0
春树暮云,0
一毫不染,0
泥古不化,0
沐露沾霜,0
鸠佔鹊巢,0
